iter	Passed	Remaining
621	1475	896
622	1477	894
623	1479	891
624	1481	888
625	1483	886
626	1485	883
627	1487	881
628	1489	878
629	1491	875
630	1493	873
631	1495	870
632	1497	868
633	1499	865
634	1501	863
635	1503	860
636	1505	858
637	1507	855
638	1509	852
639	1511	850
640	1513	847
641	1516	845
642	1518	843
643	1520	840
644	1522	838
645	1524	835
646	1526	832
647	1528	830
648	1530	827
649	1533	825
650	1535	823
651	1537	820
652	1539	818
653	1541	815
654	1543	813
655	1545	810
656	1547	808
657	1550	805
658	1552	803
659	1554	800
660	1556	798
661	1558	795
662	1560	793
663	1562	790
664	1565	788
665	1567	785
666	1569	783
667	1571	781
668	1573	778
669	1575	775
670	1577	773
671	1579	770
672	1581	768
673	1583	766
674	1585	763
675	1587	760
676	1589	758
677	1591	755
678	1593	753
679	1596	751
680	1598	748
681	1600	746
682	1602	743
683	1604	741
684	1605	738
685	1608	736
686	1610	733
687	1611	730
688	1613	728
689	1615	725
690	1617	723
691	1619	720
692	1621	718
693	1623	715
694	1625	713
695	1627	710
696	1629	708
697	1631	705
698	1633	703
699	1635	700
700	1637	698
701	1639	695
702	1641	693
703	1643	690
704	1645	688
705	1647	686
706	1649	683
707	1651	681
708	1654	678
709	1655	676
710	1657	673
711	1660	671
712	1662	669
713	1664	666
714	1666	664
715	1668	661
716	1671	659
717	1673	657
718	1675	654
719	1677	652
720	1679	649
721	1681	647
722	1683	645
723	1685	642
724	1688	640
725	1690	637
726	1692	635
727	1694	633
728	1696	630
729	1698	628
730	1701	626
731	1703	623
732	1705	621
733	1707	618
734	1709	616
735	1712	614
736	1713	611
737	1715	609
738	1718	606
739	1720	604
740	1721	601
741	1724	599
742	1726	597
743	1728	594
744	1731	592
745	1733	590
746	1734	587
747	1737	585
748	1738	582
749	1740	580
750	1743	578
751	1745	575
752	1747	573
753	1750	570
754	1751	568
755	1753	566
756	1756	563
757	1758	561
758	1760	559
759	1762	556
760	1765	554
761	1767	551
762	1769	549
763	1771	547
764	1773	544
765	1775	542
766	1777	540
767	1779	537
768	1781	535
769	1783	532
770	1785	530
771	1787	527
772	1790	525
773	1792	523
774	1793	520
775	1796	518
776	1797	516
777	1799	513
778	1802	511
779	1803	508
780	1806	506
781	1808	504
782	1810	501
783	1812	499
784	1814	496
785	1815	494
786	1817	492
787	1819	489
788	1821	487
789	1823	484
790	1825	482
791	1827	479
792	1829	477
793	1831	475
794	1833	472
795	1835	470
796	1836	467
797	1839	465
798	1840	463
799	1842	460
800	1845	458
801	1846	455
802	1848	453
803	1850	451
804	1852	448
805	1854	446
806	1856	444
807	1858	441
808	1861	439
809	1862	436
810	1864	434
811	1866	432
812	1868	429
813	1871	427
814	1873	425
815	1875	422
816	1877	420
817	1879	418
818	1881	415
819	1883	413
820	1884	410
821	1887	408
822	1889	406
823	1891	404
824	1893	401
825	1895	399
826	1897	397
827	1899	394
828	1901	392
829	1903	389
830	1905	387
831	1907	385
832	1909	382
833	1911	380
834	1913	378
835	1915	375
836	1917	373
837	1919	371
838	1921	368
839	1923	366
840	1925	364
841	1927	361
842	1929	359
843	1931	357
844	1933	354
845	1935	352
846	1937	349
847	1939	347
848	1941	345
849	1943	342
850	1945	340
851	1947	338
852	1949	335
853	1951	333
854	1953	331
855	1955	328
856	1957	326
857	1959	324
858	1961	321
859	1963	319
860	1965	317
861	1967	315
862	1969	312
863	1971	310
864	1973	308
865	1975	305
866	1977	303
867	1979	301
868	1981	298
869	1983	296
870	1985	294
871	1987	291
872	1989	289
873	1991	287
874	1993	284
875	1995	282
876	1997	280
877	2000	277
878	2002	275
879	2004	273
880	2006	271
881	2008	268
882	2010	266
883	2012	264
884	2014	261
885	2016	259
886	2018	257
887	2020	254
888	2022	252
889	2024	250
890	2026	247
891	2029	245
892	2031	243
893	2033	241
894	2035	238
895	2037	236
896	2039	234
897	2040	231
898	2043	229
899	2044	227
900	2046	224
901	2049	222
902	2050	220
903	2052	218
904	2054	215
905	2056	213
906	2058	211
907	2060	208
908	2062	206
909	2065	204
910	2066	201
911	2068	199
912	2070	197
913	2072	195
914	2074	192
915	2076	190
916	2078	188
917	2080	185
918	2082	183
919	2084	181
920	2086	178
921	2088	176
922	2090	174
923	2092	172
924	2094	169
925	2096	167
926	2098	165
927	2100	162
928	2102	160
929	2104	158
930	2106	156
931	2108	153
932	2110	151
933	2112	149
934	2114	146
935	2116	144
936	2118	142
937	2120	140
938	2122	137
939	2124	135
940	2126	133
941	2128	131
942	2130	128
943	2132	126
944	2133	124
945	2136	121
946	2137	119
947	2139	117
948	2141	115
949	2143	112
950	2145	110
951	2147	108
952	2149	106
953	2151	103
954	2153	101
955	2155	99
956	2157	96
957	2159	94
958	2162	92
959	2165	90
960	2167	87
961	2170	85
962	2173	83
963	2175	81
964	2178	79
965	2180	76
966	2182	74
967	2184	72
968	2187	69
969	2190	67
970	2193	65
971	2195	63
972	2198	60
973	2200	58
974	2202	56
975	2204	54
976	2206	51
977	2209	49
978	2211	47
979	2213	45
980	2215	42
981	2218	40
982	2223	38
983	2226	36
984	2229	33
985	2231	31
986	2233	29
987	2236	27
988	2238	24
989	2241	22
990	2244	20
991	2247	18
992	2250	15
993	2253	13
994	2256	11
995	2258	9
996	2260	6
997	2263	4
998	2265	2
999	2268	0
